"","experiment","subject","item","condition","selection","selectCode"
"635","second",13,11,"Baseline","Option 1",1
"636","second",13,12,"Baseline","Option 2",0
"637","second",14,1,"Baseline","Option 2",0
"638","second",14,2,"Baseline","Option 2",0
"639","second",14,3,"Baseline","Option 1",1
"640","second",14,4,"Baseline","Option 2",0
"641","second",14,5,"Baseline","Option 1",1
"642","second",14,6,"Baseline","Option 1",1
"643","second",14,7,"Baseline","Option 2",0
"644","second",14,8,"Baseline","Option 1",1
"645","second",14,9,"Baseline","Option 1",1
"646","second",14,10,"Baseline","Option 2",0
"647","second",14,11,"Baseline","Option 2",0
"648","second",14,12,"Baseline","Option 2",0
"649","second",15,1,"Baseline","Option 2",0
"650","second",15,2,"Baseline","Option 2",0
"651","second",15,3,"Baseline","Option 1",1
"652","second",15,4,"Baseline","Option 1",1
"653","second",15,5,"Baseline","Option 1",1
"654","second",15,6,"Baseline","Option 1",1
"655","second",15,7,"Baseline","Option 2",0
"656","second",15,8,"Baseline","Option 2",0
"657","second",15,9,"Baseline","Option 2",0
"658","second",15,10,"Baseline","Option 1",1
"659","second",15,11,"Baseline","Option 1",1
"660","second",15,12,"Baseline","Option 1",1
"661","second",16,1,"Baseline","Option 1",1
"662","second",16,2,"Baseline","Option 2",0
"663","second",16,3,"Baseline","Option 1",1
"664","second",16,4,"Baseline","Option 2",0
"665","second",16,5,"Baseline","Option 2",0
"666","second",16,6,"Baseline","Option 2",0
"667","second",16,7,"Baseline","Option 2",0
"668","second",16,8,"Baseline","Option 2",0
"669","second",16,9,"Baseline","Option 2",0
"670","second",16,10,"Baseline","Option 1",1
"671","second",16,11,"Baseline","Option 1",1
"672","second",16,12,"Baseline","Option 1",1
"673","second",17,1,"Baseline","Option 1",1
"674","second",17,2,"Baseline","Option 1",1
"675","second",17,3,"Baseline","Option 2",0
"676","second",17,4,"Baseline","Option 1",1
"677","second",17,5,"Baseline","Option 2",0
"678","second",17,6,"Baseline","Option 1",1
"679","second",17,7,"Baseline","Option 1",1
"680","second",17,8,"Baseline","Option 1",1
"681","second",17,9,"Baseline","Option 2",0
"682","second",17,10,"Baseline","Option 2",0
"683","second",17,11,"Baseline","Option 2",0
"684","second",17,12,"Baseline","Option 1",1
"685","second",18,1,"Baseline","Option 1",1
"686","second",18,2,"Baseline","Option 1",1
"687","second",18,3,"Baseline","Option 2",0
"688","second",18,4,"Baseline","Option 2",0
"689","second",18,5,"Baseline","Option 2",0
"690","second",18,6,"Baseline","Option 1",1
"691","second",18,7,"Baseline","Option 1",1
"692","second",18,8,"Baseline","Option 2",0
"693","second",18,9,"Baseline","Option 1",1
"694","second",18,10,"Baseline","Option 2",0
"695","second",18,11,"Baseline","Option 2",0
"696","second",18,12,"Baseline","Option 2",0
"697","second",19,1,"Baseline","Option 2",0
"698","second",19,2,"Baseline","Option 1",1
"699","second",19,3,"Baseline","Option 2",0
"700","second",19,4,"Baseline","Option 1",1
"701","second",19,5,"Baseline","Option 2",0
"702","second",19,6,"Baseline","Option 2",0
"703","second",19,7,"Baseline","Option 2",0
"704","second",19,8,"Baseline","Option 1",1
"705","second",19,9,"Baseline","Option 1",1
"706","second",19,10,"Baseline","Option 1",1
"707","second",19,11,"Baseline","Option 2",0
"708","second",19,12,"Baseline","Option 2",0
"709","second",20,1,"Baseline","Option 2",0
"710","second",20,2,"Baseline","Option 2",0
"711","second",20,3,"Baseline","Option 2",0
"712","second",20,4,"Baseline","Option 1",1
"713","second",20,5,"Baseline","Option 2",0
"714","second",20,6,"Baseline","Option 2",0
"715","second",20,7,"Baseline","Option 2",0
"716","second",20,8,"Baseline","Option 2",0
"717","second",20,9,"Baseline","Option 2",0
"718","second",20,10,"Baseline","Option 1",1
"719","second",20,11,"Baseline","Option 2",0
"720","second",20,12,"Baseline","Option 2",0
"721","second",1,13,"Treatment","Option 1",1
"722","second",1,14,"Treatment","Option 2",0
"723","second",1,15,"Treatment","Option 1",1
"724","second",1,16,"Treatment","Option 1",1
"725","second",1,17,"Treatment","Option 1",1
"726","second",1,18,"Treatment","Option 1",1
"727","second",1,19,"Treatment","Option 1",1
"728","second",1,20,"Treatment","Option 1",1
"729","second",1,21,"Treatment","Option 1",1
"730","second",1,22,"Treatment","Option 1",1
"731","second",1,23,"Treatment","Option 1",1
"732","second",1,24,"Treatment","Option 1",1
"733","second",2,13,"Treatment","Option 1",1
"734","second",2,14,"Treatment","Option 1",1
"735","second",2,15,"Treatment","Option 1",1
"736","second",2,16,"Treatment","Option 1",1
"737","second",2,17,"Treatment","Option 1",1
"738","second",2,18,"Treatment","Option 2",0
"739","second",2,19,"Treatment","Option 1",1
"740","second",2,20,"Treatment","Option 1",1
"741","second",2,21,"Treatment","Option 1",1
"742","second",2,22,"Treatment","Option 1",1
"743","second",2,23,"Treatment","Option 1",1
"744","second",2,24,"Treatment","Option 1",1
"745","second",3,13,"Treatment","Option 1",1
"746","second",3,14,"Treatment","Option 1",1
"747","second",3,15,"Treatment","Option 1",1
"748","second",3,16,"Treatment","Option 1",1
"749","second",3,17,"Treatment","Option 1",1
"750","second",3,18,"Treatment","Option 1",1
"751","second",3,19,"Treatment","Option 1",1
"752","second",3,20,"Treatment","Option 1",1
"753","second",3,21,"Treatment","Option 1",1
"754","second",3,22,"Treatment","Option 1",1
"755","second",3,23,"Treatment","Option 1",1
"756","second",3,24,"Treatment","Option 1",1
"757","second",4,13,"Treatment","Option 1",1
"758","second",4,14,"Treatment","Option 1",1
"759","second",4,15,"Treatment","Option 1",1
"760","second",4,16,"Treatment","Option 1",1
"761","second",4,17,"Treatment","Option 1",1
"762","second",4,18,"Treatment","Option 1",1
"763","second",4,19,"Treatment","Option 1",1
"764","second",4,20,"Treatment","Option 2",0
"765","second",4,21,"Treatment","Option 1",1
"766","second",4,22,"Treatment","Option 1",1
"767","second",4,23,"Treatment","Option 1",1
"768","second",4,24,"Treatment","Option 1",1
"769","second",5,13,"Treatment","Option 1",1
"770","second",5,14,"Treatment","Option 1",1
"771","second",5,15,"Treatment","Option 1",1
"772","second",5,16,"Treatment","Option 1",1
"773","second",5,17,"Treatment","Option 1",1
"774","second",5,18,"Treatment","Option 1",1
"775","second",5,19,"Treatment","Option 1",1
"776","second",5,20,"Treatment","Option 1",1
"777","second",5,21,"Treatment","Option 1",1
"778","second",5,22,"Treatment","Option 1",1
"779","second",5,23,"Treatment","Option 1",1
"780","second",5,24,"Treatment","Option 1",1
"781","second",6,13,"Treatment","Option 1",1
"782","second",6,14,"Treatment","Option 1",1
"783","second",6,15,"Treatment","Option 1",1
"784","second",6,16,"Treatment","Option 1",1
"785","second",6,17,"Treatment","Option 1",1
"786","second",6,18,"Treatment","Option 2",0
"787","second",6,19,"Treatment","Option 1",1
"788","second",6,20,"Treatment","Option 1",1
"789","second",6,21,"Treatment","Option 1",1
"790","second",6,22,"Treatment","Option 1",1
"791","second",6,23,"Treatment","Option 1",1
"792","second",6,24,"Treatment","Option 1",1
"793","second",7,13,"Treatment","Option 1",1
"794","second",7,14,"Treatment","Option 1",1
"795","second",7,15,"Treatment","Option 1",1
"796","second",7,16,"Treatment","Option 1",1
"797","second",7,17,"Treatment","Option 1",1
"798","second",7,18,"Treatment","Option 1",1
"799","second",7,19,"Treatment","Option 2",0
"800","second",7,20,"Treatment","Option 2",0
"801","second",7,21,"Treatment","Option 1",1
"802","second",7,22,"Treatment","Option 1",1
"803","second",7,23,"Treatment","Option 1",1
"804","second",7,24,"Treatment","Option 1",1
"805","second",8,13,"Treatment","Option 1",1
"806","second",8,14,"Treatment","Option 1",1
"807","second",8,15,"Treatment","Option 1",1
"808","second",8,16,"Treatment","Option 1",1
"809","second",8,17,"Treatment","Option 1",1
"810","second",8,18,"Treatment","Option 1",1
"811","second",8,19,"Treatment","Option 1",1
"812","second",8,20,"Treatment","Option 1",1
"813","second",8,21,"Treatment","Option 2",0
"814","second",8,22,"Treatment","Option 1",1
"815","second",8,23,"Treatment","Option 2",0
"816","second",8,24,"Treatment","Option 1",1
"817","second",9,13,"Treatment","Option 1",1
"818","second",9,14,"Treatment","Option 1",1
"819","second",9,15,"Treatment","Option 1",1
"820","second",9,16,"Treatment","Option 1",1
"821","second",9,17,"Treatment","Option 1",1
"822","second",9,18,"Treatment","Option 2",0
"823","second",9,19,"Treatment","Option 1",1
"824","second",9,20,"Treatment","Option 1",1
"825","second",9,21,"Treatment","Option 1",1
"826","second",9,22,"Treatment","Option 2",0
"827","second",9,23,"Treatment","Option 1",1
"828","second",9,24,"Treatment","Option 1",1
"829","second",10,13,"Treatment","Option 1",1
"830","second",10,14,"Treatment","Option 1",1
"831","second",10,15,"Treatment","Option 1",1
"832","second",10,16,"Treatment","Option 1",1
"833","second",10,17,"Treatment","Option 1",1
"834","second",10,18,"Treatment","Option 1",1
"835","second",10,19,"Treatment","Option 1",1
"836","second",10,20,"Treatment","Option 1",1
"837","second",10,21,"Treatment","Option 1",1
"838","second",10,22,"Treatment","Option 1",1
"839","second",10,23,"Treatment","Option 2",0
"840","second",10,24,"Treatment","Option 1",1
"841","second",11,13,"Treatment","Option 1",1
"842","second",11,14,"Treatment","Option 1",1
"843","second",11,15,"Treatment","Option 1",1
"844","second",11,16,"Treatment","Option 1",1
"845","second",11,17,"Treatment","Option 1",1
"846","second",11,18,"Treatment","Option 1",1
"847","second",11,19,"Treatment","Option 1",1
"848","second",11,20,"Treatment","Option 1",1
"849","second",11,21,"Treatment","Option 2",0
"850","second",11,22,"Treatment","Option 1",1
"851","second",11,23,"Treatment","Option 1",1
"852","second",11,24,"Treatment","Option 1",1
"853","second",12,13,"Treatment","Option 1",1
"854","second",12,14,"Treatment","Option 1",1
"855","second",12,15,"Treatment","Option 1",1
"856","second",12,16,"Treatment","Option 1",1
"857","second",12,17,"Treatment","Option 1",1
"858","second",12,18,"Treatment","Option 1",1
"859","second",12,19,"Treatment","Option 1",1
"860","second",12,20,"Treatment","Option 1",1
"861","second",12,21,"Treatment","Option 1",1
"862","second",12,22,"Treatment","Option 1",1
"863","second",12,23,"Treatment","Option 2",0
"864","second",12,24,"Treatment","Option 1",1
"865","second",13,13,"Treatment","Option 1",1
"866","second",13,14,"Treatment","Option 1",1
"867","second",13,15,"Treatment","Option 2",0
"868","second",13,16,"Treatment","Option 1",1
"869","second",13,17,"Treatment","Option 1",1
"870","second",13,18,"Treatment","Option 1",1
"871","second",13,19,"Treatment","Option 1",1
"872","second",13,20,"Treatment","Option 1",1
"873","second",13,21,"Treatment","Option 1",1
"874","second",13,22,"Treatment","Option 1",1
"875","second",13,23,"Treatment","Option 1",1
"876","second",13,24,"Treatment","Option 1",1
"877","second",14,13,"Treatment","Option 1",1
"878","second",14,14,"Treatment","Option 1",1
"879","second",14,15,"Treatment","Option 1",1
"880","second",14,16,"Treatment","Option 2",0
"881","second",14,17,"Treatment","Option 1",1
"882","second",14,18,"Treatment","Option 2",0
"883","second",14,19,"Treatment","Option 1",1
"884","second",14,20,"Treatment","Option 1",1
"885","second",14,21,"Treatment","Option 1",1
"886","second",14,22,"Treatment","Option 2",0
"887","second",14,23,"Treatment","Option 1",1
"888","second",14,24,"Treatment","Option 1",1
"889","second",15,13,"Treatment","Option 1",1
"890","second",15,14,"Treatment","Option 1",1
"891","second",15,15,"Treatment","Option 1",1
"892","second",15,16,"Treatment","Option 1",1
"893","second",15,17,"Treatment","Option 1",1
"894","second",15,18,"Treatment","Option 2",0
"895","second",15,19,"Treatment","Option 1",1
"896","second",15,20,"Treatment","Option 1",1
"897","second",15,21,"Treatment","Option 1",1
"898","second",15,22,"Treatment","Option 1",1
"899","second",15,23,"Treatment","Option 1",1
"900","second",15,24,"Treatment","Option 1",1
"901","second",16,13,"Treatment","Option 2",0
"902","second",16,14,"Treatment","Option 1",1
"903","second",16,15,"Treatment","Option 1",1
"904","second",16,16,"Treatment","Option 1",1
"905","second",16,17,"Treatment","Option 1",1
"906","second",16,18,"Treatment","Option 1",1
"907","second",16,19,"Treatment","Option 1",1
"908","second",16,20,"Treatment","Option 1",1
"909","second",16,21,"Treatment","Option 1",1
"910","second",16,22,"Treatment","Option 1",1
"911","second",16,23,"Treatment","Option 1",1
"912","second",16,24,"Treatment","Option 1",1
"913","second",17,13,"Treatment","Option 2",0
"914","second",17,14,"Treatment","Option 1",1
"915","second",17,15,"Treatment","Option 1",1
"916","second",17,16,"Treatment","Option 1",1
"917","second",17,17,"Treatment","Option 1",1
"918","second",17,18,"Treatment","Option 1",1
"919","second",17,19,"Treatment","Option 2",0
"920","second",17,20,"Treatment","Option 1",1
"921","second",17,21,"Treatment","Option 1",1
"922","second",17,22,"Treatment","Option 1",1
"923","second",17,23,"Treatment","Option 1",1
"924","second",17,24,"Treatment","Option 1",1
"925","second",18,13,"Treatment","Option 1",1
"926","second",18,14,"Treatment","Option 1",1
"927","second",18,15,"Treatment","Option 1",1
"928","second",18,16,"Treatment","Option 1",1
"929","second",18,17,"Treatment","Option 1",1
"930","second",18,18,"Treatment","Option 1",1
"931","second",18,19,"Treatment","Option 1",1
"932","second",18,20,"Treatment","Option 1",1
"933","second",18,21,"Treatment","Option 1",1
"934","second",18,22,"Treatment","Option 2",0
"935","second",18,23,"Treatment","Option 1",1
"936","second",18,24,"Treatment","Option 1",1
"937","second",19,13,"Treatment","Option 1",1
"938","second",19,14,"Treatment","Option 1",1
"939","second",19,15,"Treatment","Option 1",1
"940","second",19,16,"Treatment","Option 1",1
"941","second",19,17,"Treatment","Option 1",1
"942","second",19,18,"Treatment","Option 1",1
"943","second",19,19,"Treatment","Option 1",1
"944","second",19,20,"Treatment","Option 1",1
"945","second",19,21,"Treatment","Option 1",1
"946","second",19,22,"Treatment","Option 1",1
"947","second",19,23,"Treatment","Option 1",1
"948","second",19,24,"Treatment","Option 1",1
"949","second",20,13,"Treatment","Option 1",1
"950","second",20,14,"Treatment","Option 1",1
"951","second",20,15,"Treatment","Option 1",1
"952","second",20,16,"Treatment","Option 1",1
"953","second",20,17,"Treatment","Option 1",1
"954","second",20,18,"Treatment","Option 1",1
"955","second",20,19,"Treatment","Option 1",1
"956","second",20,20,"Treatment","Option 1",1
"957","second",20,21,"Treatment","Option 1",1
"958","second",20,22,"Treatment","Option 2",0
"959","second",20,23,"Treatment","Option 1",1
"960","second",20,24,"Treatment","Option 1",1
"961","third",1,1,"Baseline","Option 2",0
"962","third",1,2,"Baseline","Option 2",0
"963","third",1,3,"Baseline","Option 1",1
"964","third",1,4,"Baseline","Option 1",1
"965","third",1,5,"Baseline","Option 2",0
"966","third",1,6,"Baseline","Option 2",0
"967","third",1,7,"Baseline","Option 1",1
"968","third",1,8,"Baseline","Option 2",0
"969","third",1,9,"Baseline","Option 2",0
"970","third",1,10,"Baseline","Option 2",0
"971","third",1,11,"Baseline","Option 2",0
"972","third",1,12,"Baseline","Option 1",1
"973","third",2,1,"Baseline","Option 2",0
"974","third",2,2,"Baseline","Option 2",0
"975","third",2,3,"Baseline","Option 1",1
"976","third",2,4,"Baseline","Option 2",0
"977","third",2,5,"Baseline","Option 2",0
"978","third",2,6,"Baseline","Option 1",1
"979","third",2,7,"Baseline","Option 2",0
"980","third",2,8,"Baseline","Option 2",0
"981","third",2,9,"Baseline","Option 2",0
"982","third",2,10,"Baseline","Option 2",0
"983","third",2,11,"Baseline","Option 2",0
"984","third",2,12,"Baseline","Option 1",1
"985","third",3,1,"Baseline","Option 2",0
"986","third",3,2,"Baseline","Option 1",1
"987","third",3,3,"Baseline","Option 1",1
"988","third",3,4,"Baseline","Option 1",1
"989","third",3,5,"Baseline","Option 1",1
"990","third",3,6,"Baseline","Option 2",0
"991","third",3,7,"Baseline","Option 2",0
"992","third",3,8,"Baseline","Option 1",1
"993","third",3,9,"Baseline","Option 2",0
"994","third",3,10,"Baseline","Option 2",0
"995","third",3,11,"Baseline","Option 2",0
"996","third",3,12,"Baseline","Option 2",0
"997","third",4,1,"Baseline","Option 1",1
"998","third",4,2,"Baseline","Option 2",0
"999","third",4,3,"Baseline","Option 2",0
"1000","third",4,4,"Baseline","Option 1",1
"1001","third",4,5,"Baseline","Option 1",1
"1002","third",4,6,"Baseline","Option 1",1
"1003","third",4,7,"Baseline","Option 2",0
"1004","third",4,8,"Baseline","Option 2",0
"1005","third",4,9,"Baseline","Option 1",1
"1006","third",4,10,"Baseline","Option 2",0
"1007","third",4,11,"Baseline","Option 1",1
"1008","third",4,12,"Baseline","Option 2",0
"1009","third",5,1,"Baseline","Option 1",1
"1010","third",5,2,"Baseline","Option 2",0
"1011","third",5,3,"Baseline","Option 2",0
"1012","third",5,4,"Baseline","Option 2",0
"1013","third",5,5,"Baseline","Option 2",0
"1014","third",5,6,"Baseline","Option 1",1
"1015","third",5,7,"Baseline","Option 1",1
"1016","third",5,8,"Baseline","Option 2",0
"1017","third",5,9,"Baseline","Option 2",0
"1018","third",5,10,"Baseline","Option 2",0
"1019","third",5,11,"Baseline","Option 2",0
"1020","third",5,12,"Baseline","Option 2",0
"1021","third",6,1,"Baseline","Option 2",0
"1022","third",6,2,"Baseline","Option 2",0
"1023","third",6,3,"Baseline","Option 1",1
"1024","third",6,4,"Baseline","Option 2",0
"1025","third",6,5,"Baseline","Option 2",0
"1026","third",6,6,"Baseline","Option 2",0
"1027","third",6,7,"Baseline","Option 1",1
"1028","third",6,8,"Baseline","Option 2",0
"1029","third",6,9,"Baseline","Option 2",0
"1030","third",6,10,"Baseline","Option 2",0
"1031","third",6,11,"Baseline","Option 2",0
"1032","third",6,12,"Baseline","Option 1",1
"1033","third",7,1,"Baseline","Option 1",1
"1034","third",7,2,"Baseline","Option 1",1
"1035","third",7,3,"Baseline","Option 2",0
"1036","third",7,4,"Baseline","Option 2",0
"1037","third",7,5,"Baseline","Option 2",0
"1038","third",7,6,"Baseline","Option 2",0
"1039","third",7,7,"Baseline","Option 2",0
"1040","third",7,8,"Baseline","Option 2",0
"1041","third",7,9,"Baseline","Option 2",0
"1042","third",7,10,"Baseline","Option 1",1
"1043","third",7,11,"Baseline","Option 2",0
"1044","third",7,12,"Baseline","Option 2",0
"1045","third",8,1,"Baseline","Option 1",1
"1046","third",8,2,"Baseline","Option 1",1
"1047","third",8,3,"Baseline","Option 2",0
"1048","third",8,4,"Baseline","Option 2",0
"1049","third",8,5,"Baseline","Option 2",0
"1050","third",8,6,"Baseline","Option 2",0
"1051","third",8,7,"Baseline","Option 2",0
"1052","third",8,8,"Baseline","Option 1",1
"1053","third",8,9,"Baseline","Option 2",0
"1054","third",8,10,"Baseline","Option 1",1
"1055","third",8,11,"Baseline","Option 1",1
"1056","third",8,12,"Baseline","Option 2",0
"1057","third",9,1,"Baseline","Option 1",1
"1058","third",9,2,"Baseline","Option 1",1
"1059","third",9,3,"Baseline","Option 1",1
"1060","third",9,4,"Baseline","Option 1",1
"1061","third",9,5,"Baseline","Option 2",0
"1062","third",9,6,"Baseline","Option 2",0
"1063","third",9,7,"Baseline","Option 2",0
"1064","third",9,8,"Baseline","Option 2",0
"1065","third",9,9,"Baseline","Option 2",0
"1066","third",9,10,"Baseline","Option 1",1
"1067","third",9,11,"Baseline","Option 2",0
"1068","third",9,12,"Baseline","Option 2",0
"1069","third",10,1,"Baseline","Option 1",1
"1070","third",10,2,"Baseline","Option 2",0
"1071","third",10,3,"Baseline","Option 1",1
"1072","third",10,4,"Baseline","Option 2",0
"1073","third",10,5,"Baseline","Option 2",0
"1074","third",10,6,"Baseline","Option 1",1
"1075","third",10,7,"Baseline","Option 2",0
"1076","third",10,8,"Baseline","Option 2",0
"1077","third",10,9,"Baseline","Option 2",0
"1078","third",10,10,"Baseline","Option 2",0
"1079","third",10,11,"Baseline","Option 2",0
"1080","third",10,12,"Baseline","Option 1",1
"1081","third",11,1,"Baseline","Option 1",1
"1082","third",11,2,"Baseline","Option 2",0
"1083","third",11,3,"Baseline","Option 1",1
"1084","third",11,4,"Baseline","Option 2",0
"1085","third",11,5,"Baseline","Option 2",0
"1086","third",11,6,"Baseline","Option 1",1
"1087","third",11,7,"Baseline","Option 2",0
"1088","third",11,8,"Baseline","Option 1",1
"1089","third",11,9,"Baseline","Option 2",0
"1090","third",11,10,"Baseline","Option 2",0
"1091","third",11,11,"Baseline","Option 2",0
"1092","third",11,12,"Baseline","Option 2",0
"1093","third",12,1,"Baseline","Option 2",0
"1094","third",12,2,"Baseline","Option 2",0
"1095","third",12,3,"Baseline","Option 2",0
"1096","third",12,4,"Baseline","Option 1",1
"1097","third",12,5,"Baseline","Option 1",1
"1098","third",12,6,"Baseline","Option 1",1
"1099","third",12,7,"Baseline","Option 1",1
"1100","third",12,8,"Baseline","Option 1",1
"1101","third",12,9,"Baseline","Option 2",0
"1102","third",12,10,"Baseline","Option 2",0
"1103","third",12,11,"Baseline","Option 2",0
"1104","third",12,12,"Baseline","Option 1",1
"1105","third",13,1,"Baseline","Option 1",1
"1106","third",13,2,"Baseline","Option 1",1
"1107","third",13,3,"Baseline","Option 1",1
"1108","third",13,4,"Baseline","Option 1",1
"1109","third",13,5,"Baseline","Option 2",0
"1110","third",13,6,"Baseline","Option 1",1
"1111","third",13,7,"Baseline","Option 2",0
"1112","third",13,8,"Baseline","Option 2",0
"1113","third",13,9,"Baseline","Option 1",1
"1114","third",13,10,"Baseline","Option 2",0
"1115","third",13,11,"Baseline","Option 1",1
"1116","third",13,12,"Baseline","Option 2",0
"1117","third",14,1,"Baseline","Option 1",1
"1118","third",14,2,"Baseline","Option 2",0
"1119","third",14,3,"Baseline","Option 2",0
"1120","third",14,4,"Baseline","Option 1",1
"1121","third",14,5,"Baseline","Option 1",1
"1122","third",14,6,"Baseline","Option 2",0
"1123","third",14,7,"Baseline","Option 1",1
"1124","third",14,8,"Baseline","Option 2",0
"1125","third",14,9,"Baseline","Option 1",1
"1126","third",14,10,"Baseline","Option 1",1
"1127","third",14,11,"Baseline","Option 2",0
"1128","third",14,12,"Baseline","Option 2",0
"1129","third",15,1,"Baseline","Option 2",0
"1130","third",15,2,"Baseline","Option 2",0
"1131","third",15,3,"Baseline","Option 2",0
"1132","third",15,4,"Baseline","Option 2",0
"1133","third",15,5,"Baseline","Option 2",0
"1134","third",15,6,"Baseline","Option 2",0
"1135","third",15,7,"Baseline","Option 1",1
"1136","third",15,8,"Baseline","Option 1",1
"1137","third",15,9,"Baseline","Option 2",0
"1138","third",15,10,"Baseline","Option 1",1
"1139","third",15,11,"Baseline","Option 2",0
"1140","third",15,12,"Baseline","Option 2",0
"1141","third",16,1,"Baseline","Option 2",0
"1142","third",16,2,"Baseline","Option 2",0
"1143","third",16,3,"Baseline","Option 2",0
"1144","third",16,4,"Baseline","Option 2",0
"1145","third",16,5,"Baseline","Option 2",0
"1146","third",16,6,"Baseline","Option 2",0
"1147","third",16,7,"Baseline","Option 1",1
"1148","third",16,8,"Baseline","Option 1",1
"1149","third",16,9,"Baseline","Option 1",1
"1150","third",16,10,"Baseline","Option 2",0
"1151","third",16,11,"Baseline","Option 2",0
"1152","third",16,12,"Baseline","Option 2",0
"1153","third",17,1,"Baseline","Option 2",0
"1154","third",17,2,"Baseline","Option 2",0
"1155","third",17,3,"Baseline","Option 1",1
"1156","third",17,4,"Baseline","Option 2",0
"1157","third",17,5,"Baseline","Option 2",0
"1158","third",17,6,"Baseline","Option 2",0
"1159","third",17,7,"Baseline","Option 1",1
"1160","third",17,8,"Baseline","Option 2",0
"1161","third",17,9,"Baseline","Option 2",0
"1162","third",17,10,"Baseline","Option 1",1
"1163","third",17,11,"Baseline","Option 2",0
"1164","third",17,12,"Baseline","Option 2",0
"1165","third",18,1,"Baseline","Option 2",0
"1166","third",18,2,"Baseline","Option 2",0
"1167","third",18,3,"Baseline","Option 1",1
"1168","third",18,4,"Baseline","Option 2",0
"1169","third",18,5,"Baseline","Option 2",0
"1170","third",18,6,"Baseline","Option 2",0
"1171","third",18,7,"Baseline","Option 2",0
"1172","third",18,8,"Baseline","Option 2",0
"1173","third",18,9,"Baseline","Option 1",1
"1174","third",18,10,"Baseline","Option 2",0
"1175","third",18,11,"Baseline","Option 1",1
"1176","third",18,12,"Baseline","Option 1",1
"1177","third",19,1,"Baseline","Option 1",1
"1178","third",19,2,"Baseline","Option 1",1
"1179","third",19,3,"Baseline","Option 2",0
"1180","third",19,4,"Baseline","Option 2",0
"1181","third",19,5,"Baseline","Option 2",0
"1182","third",19,6,"Baseline","Option 2",0
"1183","third",19,7,"Baseline","Option 2",0
"1184","third",19,8,"Baseline","Option 2",0
"1185","third",19,9,"Baseline","Option 2",0
"1186","third",19,10,"Baseline","Option 2",0
"1187","third",19,11,"Baseline","Option 2",0
"1188","third",19,12,"Baseline","Option 2",0
"1189","third",20,1,"Baseline","Option 1",1
"1190","third",20,2,"Baseline","Option 2",0
"1191","third",20,3,"Baseline","Option 2",0
"1192","third",20,4,"Baseline","Option 2",0
"1193","third",20,5,"Baseline","Option 1",1
"1194","third",20,6,"Baseline","Option 2",0
"1195","third",20,7,"Baseline","Option 1",1
"1196","third",20,8,"Baseline","Option 1",1
"1197","third",20,9,"Baseline","Option 2",0
"1198","third",20,10,"Baseline","Option 1",1
"1199","third",20,11,"Baseline","Option 2",0
"1200","third",20,12,"Baseline","Option 2",0
"1201","third",1,13,"Treatment","Option 2",0
"1202","third",1,14,"Treatment","Option 2",0
"1203","third",1,15,"Treatment","Option 2",0
"1204","third",1,16,"Treatment","Option 2",0
"1205","third",1,17,"Treatment","Option 2",0
"1206","third",1,18,"Treatment","Option 1",1
"1207","third",1,19,"Treatment","Option 2",0
"1208","third",1,20,"Treatment","Option 2",0
"1209","third",1,21,"Treatment","Option 2",0
"1210","third",1,22,"Treatment","Option 2",0
"1211","third",1,23,"Treatment","Option 2",0
"1212","third",1,24,"Treatment","Option 2",0
"1213","third",2,13,"Treatment","Option 2",0
"1214","third",2,14,"Treatment","Option 2",0
"1215","third",2,15,"Treatment","Option 2",0
"1216","third",2,16,"Treatment","Option 2",0
"1217","third",2,17,"Treatment","Option 1",1
"1218","third",2,18,"Treatment","Option 1",1
"1219","third",2,19,"Treatment","Option 2",0
"1220","third",2,20,"Treatment","Option 1",1
"1221","third",2,21,"Treatment","Option 1",1
"1222","third",2,22,"Treatment","Option 2",0
"1223","third",2,23,"Treatment","Option 1",1
"1224","third",2,24,"Treatment","Option 2",0
"1225","third",3,13,"Treatment","Option 1",1
"1226","third",3,14,"Treatment","Option 2",0
"1227","third",3,15,"Treatment","Option 2",0
"1228","third",3,16,"Treatment","Option 2",0
"1229","third",3,17,"Treatment","Option 1",1
"1230","third",3,18,"Treatment","Option 2",0
"1231","third",3,19,"Treatment","Option 2",0
"1232","third",3,20,"Treatment","Option 2",0
"1233","third",3,21,"Treatment","Option 2",0
"1234","third",3,22,"Treatment","Option 2",0
"1235","third",3,23,"Treatment","Option 2",0
"1236","third",3,24,"Treatment","Option 2",0
"1237","third",4,13,"Treatment","Option 2",0
"1238","third",4,14,"Treatment","Option 1",1
"1239","third",4,15,"Treatment","Option 2",0
"1240","third",4,16,"Treatment","Option 2",0
"1241","third",4,17,"Treatment","Option 2",0
"1242","third",4,18,"Treatment","Option 2",0
"1243","third",4,19,"Treatment","Option 2",0
"1244","third",4,20,"Treatment","Option 1",1
"1245","third",4,21,"Treatment","Option 2",0
"1246","third",4,22,"Treatment","Option 2",0
"1247","third",4,23,"Treatment","Option 1",1
"1248","third",4,24,"Treatment","Option 2",0
"1249","third",5,13,"Treatment","Option 2",0
"1250","third",5,14,"Treatment","Option 2",0
"1251","third",5,15,"Treatment","Option 2",0
"1252","third",5,16,"Treatment","Option 2",0
"1253","third",5,17,"Treatment","Option 2",0
"1254","third",5,18,"Treatment","Option 2",0
"1255","third",5,19,"Treatment","Option 2",0
"1256","third",5,20,"Treatment","Option 2",0
"1257","third",5,21,"Treatment","Option 2",0
